date,close,open,high,low,volume,change
2019年7月19日,955.87,955,960.8,948,2.80M,0.88%
2019年7月18日,947.5,961.5,963,947.18,3.93M,-1.66%
2019年7月17日,963.5,968,972.99,962.13,2.55M,-0.46%
2019年7月16日,968,975.45,982.3,965,3.32M,-0.81%
2019年7月15日,975.93,967.8,980.1,951.13,5.99M,-1.03%
2019年7月12日,986.09,981.3,991.5,980.01,2.82M,0.47%
2019年7月11日,981.5,989.96,998.38,976,3.05M,-0.10%
2019年7月10日,982.52,980.93,990.58,977,2.82M,0.66%
2019年7月9日,976.06,979.3,989,968.35,3.17M,-0.89%
2019年7月8日,984.86,995.05,997.9,975,3.36M,-1.50%
2019年7月5日,999.82,986,"1,006.00",976.3,5.00M,1.90%
2019年7月4日,981.2,985.8,990.8,971.22,4.62M,-0.68%
2019年7月3日,987.9,"1,020.00","1,023.00",981.5,6.71M,-3.62%
2019年7月2日,"1,025.00","1,025.00","1,029.50","1,016.00",3.91M,-0.66%
2019年7月1日,"1,031.86","1,004.52","1,035.60","1,000.22",5.23M,4.86%
2019年6月28日,984,985.99,988.88,971.33,3.11M,-1.24%
2019年6月27日,996.35,985,"1,001.00",981.12,4.80M,1.68%
2019年6月26日,979.86,985,985,971.22,2.96M,-0.32%
2019年6月25日,982.98,992,999,967,5.13M,-0.42%
2019年6月24日,987.1,978.3,999.69,975,4.58M,1.11%
2019年6月21日,976.3,969.97,984.49,964.5,4.59M,0.13%
2019年6月20日,975,932.5,975.5,932.2,6.73M,4.61%
2019年6月19日,932.01,940,946.7,932.01,5.37M,1.64%
2019年6月18日,917,917,920,902.6,2.94M,0.59%
2019年6月17日,911.6,907,926.94,906.02,3.28M,-0.15%
2019年6月14日,913,911,932.3,910.02,4.25M,0.33%
2019年6月13日,910,910,912.3,897,3.29M,0.36%
2019年6月12日,906.7,906.22,910.99,894,3.77M,-0.46%
2019年6月11日,910.89,876,915.61,875,8.01M,4.57%
2019年6月10日,871.08,857.98,878.95,840,5.55M,1.04%
2019年6月6日,862.13,875.62,875.77,858,3.48M,-1.09%
