date,close,open,high,low,volume,change
2016年6月22日,278.5,273.77,279.36,272.77,2089999.9999999998,0.017
2016年6月23日,276.53,279.97,279.97,274.88,1400000.0,-0.0070999999999999995
2016年6月24日,273.8,275.28,277.0,267.2,2009999.9999999998,-0.009899999999999999
2016年6月27日,288.0,275.0,292.3,275.0,6360000.0,0.0519
2016年6月28日,288.3,287.02,289.66,286.32,2430000.0,0.001
2016年6月29日,288.28,287.55,289.45,284.2,2810000.0,-0.0001
2016年6月30日,291.99,290.02,298.2,290.02,3800000.0,0.0129
2016年7月1日,286.55,287.2,291.88,284.0,2600000.0,-0.018600000000000002
2016年7月4日,293.94,287.0,295.4,286.0,2950000.0,0.0258
2016年7月5日,300.52,295.03,303.1,295.03,4170000.0,0.022400000000000003
2016年7月6日,317.8,299.8,318.0,299.01,4730000.0,0.0575
2016年7月7日,316.97,315.8,326.8,312.08,5070000.0,-0.0026
2016年7月8日,309.97,313.53,315.5,306.16,4550000.0,-0.022099999999999998
2016年7月11日,315.14,309.03,324.0,309.03,5750000.0,0.0167
2016年7月12日,325.0,315.76,326.6,315.0,5310000.0,0.0313
2016年7月13日,317.21,323.03,324.73,315.05,5340000.0,-0.024
2016年7月14日,317.2,316.09,320.8,315.2,2920000.0,0.0
2016年7月15日,317.5,317.12,318.03,315.06,2680000.0,0.0009
2016年7月18日,316.25,317.5,319.5,315.66,2340000.0,-0.0039000000000000003
2016年7月19日,308.11,315.5,316.3,305.55,4139999.9999999995,-0.025699999999999997
2016年7月20日,308.57,308.62,310.87,307.5,1770000.0,0.0015
2016年7月21日,314.12,310.15,317.6,309.0,3300000.0,0.018000000000000002
2016年7月22日,308.02,312.9,315.2,307.38,2890000.0,-0.0194
2016年7月25日,311.28,307.6,314.19,307.0,2360000.0,0.0106
2016年7月26日,319.5,309.01,319.5,308.5,3560000.0,0.0264
2016年7月27日,313.5,319.85,320.6,308.3,3920000.0,-0.018799999999999997
2016年7月28日,316.2,312.0,319.3,311.5,3960000.0,0.0086
2016年7月29日,313.18,315.08,318.88,313.0,2900000.0,-0.0096
2016年8月1日,306.97,313.0,313.95,305.0,3170000.0,-0.019799999999999998
2016年8月2日,306.29,307.25,310.5,302.85,2650000.0,-0.0022
2016年8月3日,306.88,307.0,307.9,304.15,2400000.0,0.0019
2016年8月4日,306.49,306.85,308.33,304.22,2180000.0,-0.0013
2016年8月5日,306.01,306.49,308.37,305.03,2029999.9999999998,-0.0016
2016年8月8日,308.01,306.15,308.3,303.06,2200000.0,0.006500000000000001
2016年8月9日,315.7,308.17,317.67,306.42,3930000.0,0.025
2016年8月10日,313.86,315.05,316.5,313.33,2089999.9999999998,-0.0058
2016年8月11日,316.75,314.38,321.57,314.01,3190000.0,0.0092
2016年8月12日,317.0,317.4,317.4,314.01,2340000.0,0.0008
2016年8月15日,318.78,315.8,321.69,314.15,3410000.0,0.005600000000000001
2016年8月16日,309.59,322.0,322.48,308.0,8840000.0,-0.0288
2016年8月17日,308.3,309.6,310.97,306.5,4380000.0,-0.0042
